house_type_id,bedroom_count,bathroom_count,rent_amount,publisher_identity,rent_duration,identity,City_geo,State_geo,Postcode_geo,geometry,year
Other,1.0,1.0,999.0,0,5.8267148014440435,0.0,Chicago,Illinois,60601,POINT (-87.624977 41.8845009),2020
House,1.0,1.0,850.0,0,9.0,0.0,Bothell,Washington,98011,POINT (-122.206604 47.74546432),2020
Apartment,1.0,1.0,1650.0,0,5.8267148014440435,0.0,Jersey City,New Jersey,07302,POINT (-74.0448389 40.7159238),2020
Townhouse,3.0,2.0,1200.0,0,0.0,0.0,Seattle,Washington,98107,POINT (-122.362615 47.6569342),2020
House,3.0,2.5,1000.0,0,1.0,0.0,Atlanta,Georgia,30310,POINT (-84.4224428 33.7384467),2020
House,3.0,2.0,1000.0,0,1.0,0.0,Missouri City,Texas,77459,POINT (-95.5480907 29.5861596),2020
Townhouse,3.0,2.5,3000.0,0,5.8267148014440435,0.0,Seattle,Washington,98117,POINT (-122.3753895 47.6766643),2020
Apartment,1.0,1.0,700.0,0,5.8267148014440435,0.0,Shoreline,Washington,98133,POINT (-122.34831238 47.7493248),2020
House,1.0,1.0,1095.0,0,5.8267148014440435,0.0,Seattle,Washington,98133,POINT (-122.3458102 47.7076955),2020
House,3.0,2.5,1000.0,0,0.0,0.0,Meridian,Idaho,83642,POINT (-116.3500514 43.6138019),2020
Apartment,1.0,1.0,3300.0,0,5.8267148014440435,0.0,New York,New York,11101,POINT (-73.93726349000001 40.75041962),2020
Apartment,2.0,1.0,1250.0,1,1.0,0.0,New York,New York,10032,POINT (-73.9385157 40.8439679),2020
Apartment,2.0,2.0,1600.0,2,5.8267148014440435,0.0,New York,New York,11101,POINT (-73.93618960000001 40.7490714),2020
Apartment,3.0,3.0,2500.0,0,6.0,0.0,Honolulu,Hawaii,96825,POINT (-157.709485 21.2836894),2020
Apartment,2.0,2.0,1500.0,1,6.0,0.0,Bloomington,Indiana,47408,POINT (-86.50250680000001 39.1718785),2020
Apartment,2.0,1.0,1600.0,0,8.0,0.0,Hearne,Texas,77859,POINT (-96.5942292 30.8795006),2020
Apartment,1.0,1.0,3500.0,0,5.8267148014440435,0.0,New York,New York,10018,POINT (-73.996455 40.7587431),2020
Apartment,1.0,1.0,3500.0,0,5.8267148014440435,0.0,New York,New York,10038,POINT (-74.00721489999999 40.7097044),2020
